time,temp
25-04-04 02:58:59,12.76
25-04-04 03:20:45,12.48
25-04-04 03:44:49,13.76
25-04-04 03:55:09,13.76
25-04-04 04:18:28,13.31
25-04-04 04:39:25,14.76
25-04-04 04:51:01,14.76
25-04-04 04:59:59,14.76
25-04-04 05:25:36,14.76
25-04-04 05:40:05,14.76
25-04-04 05:49:05,14.76
25-04-04 05:58:14,14.76
25-04-04 06:31:28,14.76
25-04-04 06:49:13,14.76
25-04-04 06:58:19,14.76
25-04-04 07:21:15,14.76
25-04-04 07:31:36,14.76
25-04-04 07:42:21,14.76
25-04-04 07:51:38,14.76
25-04-04 08:11:32,14.76
25-04-04 08:35:44,13.76
25-04-04 08:50:04,13.76
25-04-04 08:58:53,13.76
25-04-04 09:25:23,11.76
